		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
21.03.24	16:00	5.9	5.9	5.7	82	3.0	2.7	N	0.80	4.5	NW	3.8	5.8	3.7	---	1020.1	0.00	0.0	341	2.44	348	1.4	0.05	1.4	0.043	0.000	10.8	73	6.2	10.6	14.21	1.2404	0.08	117	1	100.0	5
21.03.24	16:05	6.1	6.1	5.9	82	3.2	2.7	NNW	0.80	5.8	NNW	4.0	5.9	3.9	---	1020.1	0.00	0.0	342	2.45	350	1.4	0.05	1.4	0.043	0.000	10.8	73	6.2	10.6	14.21	1.2403	0.00	117	1	100.0	5
21.03.24	16:10	6.1	6.1	6.0	82	3.2	2.7	N	0.80	5.4	N	4.0	5.9	3.9	---	1020.1	0.00	0.0	331	2.37	346	1.4	0.05	1.4	0.043	0.000	10.8	73	6.2	10.6	14.21	1.2403	0.00	117	1	100.0	5
21.03.24	16:15	6.1	6.1	6.1	82	3.2	3.1	N	0.94	5.4	NNE	3.7	5.9	3.6	---	1020.1	0.00	0.0	350	2.51	359	1.4	0.05	1.4	0.043	0.000	10.9	73	6.2	10.6	14.21	1.2401	0.00	117	1	100.0	5
21.03.24	16:20	6.0	6.1	5.9	82	3.2	3.1	NNE	0.94	5.8	NNW	3.6	5.9	3.5	---	1020.1	0.00	0.0	344	2.47	357	1.4	0.05	1.5	0.043	0.000	10.9	73	6.3	10.7	14.22	1.2398	0.00	117	1	100.0	5
21.03.24	16:25	6.0	6.1	5.9	82	3.2	3.1	NNE	0.94	6.7	NNE	3.6	5.9	3.5	---	1020.1	0.00	0.0	302	2.16	332	1.3	0.05	1.4	0.043	0.000	10.9	73	6.3	10.7	14.22	1.2399	0.00	117	1	100.0	5
21.03.24	16:30	6.0	6.0	6.0	82	3.2	3.1	NE	0.94	5.4	N	3.6	5.9	3.5	---	1020.1	0.00	0.0	326	2.34	357	1.4	0.05	1.4	0.043	0.000	11.0	73	6.3	10.7	14.22	1.2395	0.00	117	1	100.0	5
21.03.24	16:35	6.1	6.1	6.0	82	3.3	3.6	N	1.07	5.8	N	3.4	6.0	3.3	---	1020.1	0.00	0.0	388	2.78	427	1.5	0.05	1.5	0.042	0.000	11.0	73	6.3	10.7	14.22	1.2395	0.00	117	1	100.0	5
21.03.24	16:40	6.2	6.2	6.0	82	3.4	2.7	NE	0.80	5.4	ENE	4.2	6.1	4.1	---	1020.0	0.00	0.0	431	3.09	496	1.6	0.06	1.7	0.042	0.000	11.2	74	6.7	10.9	14.49	1.2384	0.00	117	1	100.0	5
21.03.24	16:45	6.2	6.3	6.2	82	3.4	4.0	NNE	1.21	5.8	NE	3.2	6.1	3.1	---	1019.7	0.00	0.0	393	2.82	418	1.5	0.05	1.8	0.042	0.000	11.6	73	6.9	11.2	14.26	1.2363	0.00	117	1	100.0	5
21.03.24	16:50	6.3	6.3	6.2	82	3.5	2.2	NNW	0.67	4.9	NNE	4.7	6.2	4.6	---	1019.8	0.00	0.0	286	2.05	313	1.1	0.04	1.2	0.042	0.000	12.0	72	7.1	11.6	13.99	1.2342	0.00	117	1	100.0	5
21.03.24	16:55	6.3	6.4	6.3	81	3.3	3.1	NNE	0.94	5.4	NNE	4.1	6.2	3.9	---	1019.8	0.00	0.0	240	1.72	244	1.0	0.04	1.0	0.042	0.000	12.4	72	7.5	12.0	14.02	1.2323	0.00	118	1	100.0	5
21.03.24	17:00	6.4	6.4	6.3	81	3.4	2.7	N	0.80	4.9	N	4.4	6.3	4.3	---	1019.7	0.00	0.0	229	1.64	239	0.9	0.03	0.9	0.041	0.000	12.8	71	7.6	12.3	13.75	1.2303	0.13	117	1	100.0	5
21.03.24	17:05	6.4	6.4	6.3	81	3.4	2.2	N	0.67	5.4	N	4.8	6.3	4.7	---	1019.8	0.00	0.0	186	1.33	211	0.7	0.03	0.8	0.041	0.000	13.1	70	7.7	12.6	13.43	1.2292	0.00	117	1	100.0	5
21.03.24	17:10	6.4	6.4	6.4	81	3.4	2.7	N	0.80	5.4	N	4.4	6.3	4.3	---	1019.8	0.00	0.0	165	1.18	174	0.6	0.02	0.6	0.041	0.000	13.3	70	7.9	12.8	13.41	1.2280	0.00	117	1	100.0	5
21.03.24	17:15	6.4	6.4	6.4	81	3.4	2.7	NNE	0.80	4.5	NNE	4.4	6.3	4.3	---	1019.8	0.00	0.0	184	1.32	193	0.7	0.03	0.7	0.041	0.000	13.5	69	7.9	13.0	13.17	1.2271	0.00	117	1	100.0	5
21.03.24	17:20	6.6	6.6	6.4	81	3.5	2.7	NNE	0.80	4.9	ENE	4.6	6.4	4.5	---	1019.8	0.00	0.0	145	1.04	165	0.6	0.02	0.6	0.041	0.000	13.8	69	8.2	13.3	13.14	1.2257	0.00	117	1	100.0	5
21.03.24	17:25	6.4	6.6	6.4	81	3.4	2.7	NNE	0.80	4.0	N	4.4	6.3	4.3	---	1019.9	0.00	0.0	118	0.85	123	0.1	0.00	0.5	0.041	0.000	13.9	69	8.3	13.4	13.13	1.2252	0.00	117	1	100.0	5
21.03.24	17:30	6.4	6.5	6.4	81	3.4	2.7	N	0.80	4.9	NNE	4.4	6.3	4.3	---	1019.9	0.00	0.0	114	0.82	120	0.0	0.00	0.0	0.041	0.000	14.1	68	8.2	13.5	12.86	1.2246	0.00	117	1	100.0	5
21.03.24	17:35	6.4	6.4	6.4	81	3.4	2.2	NNW	0.67	4.5	N	4.8	6.3	4.7	---	1020.0	0.00	0.0	120	0.86	125	0.0	0.00	0.0	0.041	0.000	14.2	68	8.4	13.7	12.85	1.2238	0.00	117	1	100.0	5
21.03.24	17:40	6.3	6.4	6.3	81	3.3	2.7	NNW	0.80	5.4	NNW	4.3	6.2	4.2	---	1019.9	0.00	0.0	127	0.91	134	0.0	0.00	0.0	0.042	0.000	14.3	68	8.5	13.8	12.84	1.2232	0.00	117	1	100.0	5
21.03.24	17:45	6.2	6.3	6.2	81	3.2	2.7	NNW	0.80	4.5	NNW	4.2	6.1	4.1	---	1019.8	0.00	0.0	127	0.91	128	0.0	0.00	0.0	0.042	0.000	14.4	68	8.6	13.9	12.83	1.2225	0.00	117	1	100.0	5
21.03.24	17:50	6.2	6.2	6.1	82	3.3	3.1	NNE	0.94	5.4	NE	3.8	6.1	3.7	---	1019.8	0.00	0.0	135	0.97	137	0.5	0.02	0.5	0.042	0.000	14.7	68	8.9	14.2	12.81	1.2210	0.00	117	1	100.0	5
21.03.24	17:55	6.0	6.1	6.0	82	3.2	3.6	N	1.07	5.8	NNE	3.3	5.9	3.2	---	1019.8	0.00	0.0	123	0.88	127	0.5	0.02	0.5	0.043	0.000	14.9	67	8.9	14.4	12.59	1.2201	0.00	117	1	100.0	5
21.03.24	18:00	6.0	6.0	5.9	82	3.2	3.1	NNW	0.94	5.4	N	3.6	5.9	3.5	---	1019.8	0.00	0.0	136	0.97	139	0.5	0.02	0.5	0.043	0.000	15.4	66	9.1	14.9	12.35	1.2178	0.08	118	1	100.0	5
21.03.24	18:05	6.1	6.1	5.9	82	3.2	2.2	NNE	0.67	4.0	NNE	4.4	5.9	4.3	---	1020.0	0.00	0.0	138	0.99	139	0.1	0.00	0.5	0.043	0.000	15.9	64	9.1	15.3	11.84	1.2158	0.00	117	1	100.0	5
21.03.24	18:10	6.2	6.2	6.1	82	3.3	1.8	N	0.54	5.4	NNE	4.9	6.1	4.8	---	1019.9	0.00	0.0	146	1.05	149	0.0	0.00	0.0	0.042	0.000	16.4	63	9.4	15.8	11.65	1.2134	0.00	117	1	100.0	5
21.03.24	18:15	6.1	6.2	6.1	82	3.3	2.7	N	0.80	6.3	NNE	4.1	6.0	3.9	---	1019.9	0.00	0.0	143	1.02	144	0.0	0.00	0.0	0.042	0.000	16.8	62	9.5	16.2	11.45	1.2116	0.00	117	1	100.0	5
21.03.24	18:20	6.0	6.2	6.0	82	3.2	3.1	NNW	0.94	5.4	NNW	3.6	5.9	3.5	---	1020.0	0.00	0.0	142	1.02	146	0.0	0.00	0.0	0.043	0.000	17.2	61	9.6	16.6	11.25	1.2100	0.00	117	1	100.0	5
21.03.24	18:25	5.9	6.1	5.9	82	3.0	3.1	N	0.94	5.4	NNW	3.5	5.8	3.4	---	1020.1	0.00	0.0	117	0.84	137	0.0	0.00	0.0	0.043	0.000	17.5	61	9.9	16.9	11.25	1.2087	0.00	117	1	100.0	5
21.03.24	18:30	5.8	5.9	5.8	83	3.1	2.7	NNW	0.80	4.5	NNW	3.7	5.7	3.6	---	1020.2	0.00	0.0	102	0.73	104	0.0	0.00	0.0	0.044	0.000	17.7	60	9.9	17.1	11.07	1.2079	0.00	117	1	100.0	5
21.03.24	18:35	5.7	5.8	5.6	84	3.2	3.1	N	0.94	4.9	N	3.2	5.6	3.1	---	1020.1	0.00	0.0	90	0.65	98	0.0	0.00	0.0	0.044	0.000	17.9	60	10.1	17.3	11.06	1.2067	0.00	117	1	100.0	5
21.03.24	18:40	5.6	5.7	5.6	84	3.1	3.1	NNW	0.94	5.4	NW	3.1	5.4	2.9	---	1020.1	0.00	0.0	56	0.40	67	0.0	0.00	0.0	0.044	0.000	18.1	60	10.2	17.6	11.06	1.2058	0.00	117	1	100.0	5
21.03.24	18:45	5.6	5.6	5.5	84	3.1	2.2	NNW	0.67	4.9	NNW	3.8	5.4	3.7	---	1020.1	0.00	0.0	41	0.29	46	0.0	0.00	0.0	0.044	0.000	18.2	59	10.1	17.6	10.95	1.2055	0.00	117	1	100.0	5
21.03.24	18:50	5.4	5.6	5.4	85	3.1	2.7	NNW	0.80	5.4	NW	3.3	5.3	3.2	---	1020.2	0.00	0.0	35	0.25	39	0.0	0.00	0.0	0.045	0.000	18.3	58	9.9	17.7	10.75	1.2056	0.00	117	1	100.0	5
21.03.24	18:55	5.4	5.5	5.4	84	3.0	2.2	N	0.67	4.5	NNW	3.7	5.3	3.6	---	1020.0	0.00	0.0	30	0.22	30	0.0	0.00	0.0	0.045	0.000	18.0	59	9.9	17.4	10.95	1.2066	0.00	117	1	100.0	5
21.03.24	19:00	5.4	5.4	5.4	84	2.9	2.7	NNW	0.80	4.5	NW	3.2	5.3	3.1	---	1020.0	0.00	0.0	30	0.22	32	0.0	0.00	0.0	0.045	0.000	17.5	60	9.6	16.8	11.08	1.2088	0.05	117	1	100.0	5
21.03.24	19:05	5.3	5.4	5.3	85	3.0	2.7	NNW	0.80	4.9	NNW	3.1	5.2	3.0	---	1019.9	0.00	0.0	27	0.19	28	0.0	0.00	0.0	0.045	0.000	16.8	61	9.3	16.2	11.25	1.2118	0.00	118	1	100.0	5
21.03.24	19:10	5.4	5.4	5.3	85	3.1	2.2	NNW	0.67	4.5	NNE	3.6	5.3	3.4	---	1020.0	0.00	0.0	25	0.18	26	0.0	0.00	0.0	0.045	0.000	16.3	63	9.2	15.7	11.65	1.2143	0.00	117	1	100.0	5
21.03.24	19:15	5.3	5.4	5.3	85	3.0	2.2	NNW	0.67	4.9	NNE	3.5	5.2	3.4	---	1019.8	0.00	0.0	16	0.11	21	0.0	0.00	0.0	0.045	0.000	15.7	64	8.9	15.1	11.84	1.2167	0.00	117	1	100.0	5
21.03.24	19:20	5.3	5.3	5.2	84	2.8	3.6	NNE	1.07	5.8	NNW	2.4	5.2	2.3	---	1019.8	0.00	0.0	18	0.13	19	0.0	0.00	0.0	0.045	0.000	15.3	65	8.7	14.7	12.07	1.2187	0.00	117	1	100.0	5
21.03.24	19:25	5.3	5.3	5.2	85	3.0	2.7	N	0.80	4.5	N	3.1	5.2	2.9	---	1019.7	0.00	0.0	10	0.07	14	0.0	0.00	0.0	0.045	0.000	14.9	66	8.6	14.3	12.37	1.2204	0.00	117	1	100.0	5
21.03.24	19:30	5.3	5.3	5.3	85	3.0	2.2	N	0.67	4.9	NE	3.5	5.2	3.4	---	1019.7	0.00	0.0	9	0.06	9	0.0	0.00	0.0	0.045	0.000	14.5	67	8.4	13.9	12.63	1.2223	0.00	117	1	100.0	5
21.03.24	19:35	5.3	5.3	5.3	85	3.0	1.8	NNW	0.54	3.6	NNE	4.0	5.2	3.9	---	1019.9	0.00	0.0	7	0.05	9	0.0	0.00	0.0	0.045	0.000	14.2	68	8.4	13.7	12.85	1.2236	0.00	117	1	100.0	5
21.03.24	19:40	5.3	5.3	5.3	85	3.0	3.1	N	0.94	6.3	N	2.7	5.2	2.6	---	1019.9	0.00	0.0	4	0.03	5	0.0	0.00	0.0	0.045	0.000	13.9	68	8.1	13.4	12.87	1.2251	0.00	117	1	100.0	5
21.03.24	19:45	5.3	5.3	5.3	85	3.0	2.2	NNW	0.67	4.0	NNE	3.4	5.2	3.3	---	1019.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	13.7	69	8.1	13.2	13.15	1.2260	0.00	117	1	100.0	5
21.03.24	19:50	5.3	5.3	5.2	85	3.0	1.8	NNW	0.54	4.0	NNE	4.0	5.2	3.9	---	1019.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	13.5	69	7.9	13.0	13.17	1.2271	0.00	117	1	100.0	5
21.03.24	19:55	5.3	5.3	5.3	85	3.0	1.8	NNW	0.54	3.6	WNW	4.0	5.2	3.9	---	1019.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	13.3	70	8.0	12.8	13.41	1.2278	0.00	117	1	100.0	5
21.03.24	20:00	5.3	5.3	5.3	85	3.0	2.2	N	0.67	4.9	N	3.4	5.2	3.3	---	1019.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	13.2	70	7.8	12.7	13.42	1.2287	0.03	117	1	100.0	5
21.03.24	20:05	5.3	5.3	5.3	85	3.0	2.2	N	0.67	3.6	N	3.4	5.2	3.3	---	1019.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	13.0	71	7.9	12.6	13.73	1.2293	0.00	117	1	100.0	5
21.03.24	20:10	5.3	5.3	5.3	85	3.0	2.7	NNE	0.80	4.5	NNE	3.1	5.2	2.9	---	1019.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	12.9	71	7.8	12.4	13.74	1.2300	0.00	117	1	100.0	5
21.03.24	20:15	5.3	5.3	5.2	86	3.1	1.8	NE	0.54	3.1	NE	3.9	5.2	3.8	---	1020.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	12.7	71	7.6	12.3	13.75	1.2310	0.00	118	1	100.0	5
21.03.24	20:20	5.3	5.3	5.3	86	3.1	2.7	NNE	0.80	4.0	ENE	3.1	5.2	2.9	---	1020.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	12.7	72	7.7	12.3	14.04	1.2311	0.00	117	1	100.0	5
21.03.24	20:25	5.3	5.3	5.3	86	3.1	1.8	NNE	0.54	3.6	NNE	3.9	5.2	3.8	---	1020.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	12.6	72	7.6	12.2	14.03	1.2318	0.00	117	1	100.0	5
21.03.24	20:30	5.3	5.3	5.3	86	3.1	1.8	NNE	0.54	4.0	NNE	3.9	5.2	3.8	---	1020.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	12.4	72	7.5	12.1	14.03	1.2322	0.00	117	1	100.0	5
21.03.24	20:35	5.3	5.3	5.3	86	3.2	1.8	NNE	0.54	4.0	NE	4.0	5.2	3.9	---	1020.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	12.4	72	7.5	12.0	14.02	1.2326	0.00	117	1	100.0	5
21.03.24	20:40	5.3	5.3	5.3	86	3.1	2.2	NNE	0.67	4.0	NNE	3.4	5.2	3.3	---	1020.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	12.3	72	7.4	11.9	14.01	1.2331	0.00	117	1	100.0	5
21.03.24	20:45	5.3	5.3	5.2	86	3.1	2.7	NNE	0.80	4.0	NE	3.1	5.2	2.9	---	1020.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	12.2	73	7.5	11.8	14.31	1.2332	0.00	117	1	100.0	5
21.03.24	20:50	5.3	5.3	5.3	86	3.1	2.2	NNE	0.67	4.0	N	3.4	5.2	3.3	---	1020.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	12.1	73	7.4	11.7	14.30	1.2338	0.00	117	1	100.0	5
21.03.24	20:55	5.3	5.3	5.3	86	3.1	2.2	NNE	0.67	4.0	NNW	3.4	5.2	3.3	---	1020.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	12.1	73	7.4	11.7	14.30	1.2341	0.00	117	1	100.0	5
21.03.24	21:00	5.3	5.3	5.2	86	3.1	1.8	NNE	0.54	4.0	NNE	3.9	5.2	3.8	---	1020.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	12.0	73	7.3	11.7	14.29	1.2344	0.03	118	1	100.0	5
21.03.24	21:05	5.3	5.3	5.3	86	3.1	1.3	N	0.40	2.7	N	4.5	5.2	4.4	---	1020.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	11.9	73	7.3	11.6	14.29	1.2348	0.00	116	1	100.0	5
21.03.24	21:10	5.3	5.3	5.3	86	3.1	1.8	NNE	0.54	3.6	NNE	3.9	5.2	3.8	---	1020.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	11.9	73	7.2	11.6	14.29	1.2351	0.00	117	1	100.0	5
21.03.24	21:15	5.3	5.3	5.3	86	3.2	1.3	NNE	0.40	3.1	N	4.6	5.2	4.4	---	1020.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	11.8	73	7.1	11.5	14.28	1.2354	0.00	117	1	100.0	5
21.03.24	21:20	5.3	5.3	5.3	85	3.0	1.3	NE	0.40	2.2	ENE	4.5	5.2	4.4	---	1020.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	11.8	74	7.3	11.5	14.52	1.2354	0.00	118	1	100.0	5
21.03.24	21:25	5.3	5.3	5.3	85	3.0	1.3	NE	0.40	3.1	NNE	4.5	5.2	4.4	---	1020.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	11.8	74	7.3	11.4	14.51	1.2358	0.00	117	1	100.0	5
